appointment,resident,status,attempts
AP-70238,RS-4396,withheld-regulation,""
AP-70514,RS-4585,withheld-regulation,""
AP-70065,RS-4530,withheld-regulation,""
AP-70477,RS-4263,withheld-regulation,""
AP-70033,RS-4291,opted out,""
AP-70054,RS-4121,withheld-regulation,""
AP-70153,RS-4092,withheld-regulation,""
AP-70484,RS-4594,withheld-regulation,""
AP-70026,RS-4573,opted out,""
AP-70679,RS-4099,withheld-regulation,""
AP-70139,RS-4534,opted out,""
AP-70183,RS-4573,opted out,""
AP-70102,RS-4189,unreached,""
AP-70381,RS-4123,withheld-regulation,""
AP-70010,RS-4134,withheld-regulation,""
AP-70340,RS-4354,withheld-regulation,""
AP-70717,RS-4487,withheld-regulation,""
AP-70503,RS-4369,withheld-regulation,""
AP-70574,RS-4610,withheld-regulation,""
AP-70899,RS-4477,withheld-regulation,""
AP-70095,RS-4393,withheld-regulation,""
AP-70470,RS-4183,opted out,""
AP-70596,RS-4347,withheld-regulation,""
AP-70471,RS-4597,withheld-regulation,""
AP-70498,RS-4589,withheld-regulation,""
AP-70389,RS-4385,opted out,""
AP-70702,RS-4495,opted out,""
AP-70123,RS-4383,withheld-regulation,""
AP-70763,RS-4367,withheld-regulation,""
AP-70630,RS-4093,withheld-regulation,""
AP-70784,RS-4238,withheld-regulation,""
AP-70799,RS-4194,withheld-regulation,""
AP-70211,RS-4384,opted out,""
AP-70816,RS-4497,withheld-regulation,""
AP-70572,RS-4449,withheld-regulation,""
AP-70171,RS-4231,opted out,""
AP-70385,RS-4231,opted out,""
AP-70322,RS-4039,withheld-regulation,""
AP-70100,RS-4163,withheld-regulation,""
AP-70224,RS-4581,withheld-regulation,""
AP-70267,RS-4528,withheld-regulation,""
AP-70635,RS-4001,opted out,""
AP-70754,RS-4460,withheld-regulation,""
AP-70163,RS-4269,opted out,""
AP-70295,RS-4141,withheld-regulation,""
AP-70316,RS-4474,withheld-regulation,""
AP-70638,RS-4126,withheld-regulation,""
AP-70746,RS-4086,withheld-regulation,""
AP-70138,RS-4000,withheld-regulation,""
AP-70464,RS-4437,withheld-regulation,""
AP-70684,RS-4095,withheld-regulation,""
AP-70835,RS-4070,withheld-regulation,""
AP-70085,RS-4248,withheld-regulation,""
AP-70286,RS-4391,withheld-regulation,""
AP-70718,RS-4009,withheld-regulation,""
AP-70052,RS-4290,withheld-regulation,""
AP-70144,RS-4576,withheld-regulation,""
AP-70094,RS-4010,withheld-regulation,""
AP-70736,RS-4095,withheld-regulation,""
AP-70125,RS-4056,withheld-regulation,""
AP-70024,RS-4349,withheld-regulation,""
AP-70230,RS-4430,withheld-regulation,""
AP-70041,RS-4185,withheld-regulation,""
AP-70343,RS-4421,opted out,""
AP-70898,RS-4129,withheld-regulation,""
AP-70903,RS-4463,withheld-regulation,""
AP-70662,RS-4254,withheld-regulation,""
AP-70743,RS-4556,withheld-regulation,""
AP-70752,RS-4362,withheld-regulation,""
AP-70332,RS-4245,withheld-regulation,""
AP-70692,RS-4608,withheld-regulation,""
AP-70382,RS-4362,withheld-regulation,""
AP-70747,RS-4143,withheld-regulation,""
AP-70811,RS-4249,withheld-regulation,""
AP-70669,RS-4611,withheld-regulation,""
AP-70766,RS-4176,withheld-regulation,""
AP-70292,RS-4191,opted out,""
AP-70527,RS-4133,unreached,""
AP-70282,RS-4131,withheld-regulation,""
AP-70663,RS-4047,withheld-regulation,""
AP-70193,RS-4316,withheld-regulation,""
AP-70312,RS-4100,withheld-regulation,""
AP-70446,RS-4419,withheld-regulation,""
AP-70469,RS-4424,withheld-regulation,""
AP-70494,RS-4300,withheld-regulation,""
AP-70712,RS-4592,withheld-regulation,""
AP-70289,RS-4459,withheld-regulation,""
AP-70048,RS-4603,withheld-regulation,""
AP-70346,RS-4116,withheld-regulation,""
AP-70396,RS-4027,withheld-regulation,""
AP-70319,RS-4035,withheld-regulation,""
AP-70373,RS-4210,withheld-regulation,""
AP-70518,RS-4437,withheld-regulation,""
AP-70067,RS-4464,withheld-regulation,""
AP-70306,RS-4514,withheld-regulation,""
AP-70257,RS-4149,withheld-regulation,""
AP-70434,RS-4069,withheld-regulation,""
AP-70536,RS-4616,withheld-regulation,""
AP-70435,RS-4517,withheld-regulation,""
AP-70042,RS-4251,withheld-regulation,""
AP-70821,RS-4367,withheld-regulation,""
AP-70612,RS-4428,opted out,""
AP-70618,RS-4310,withheld-regulation,""
AP-70252,RS-4518,withheld-regulation,""
AP-70774,RS-4493,withheld-regulation,""
AP-70569,RS-4140,withheld-regulation,""
AP-70242,RS-4523,withheld-regulation,""
AP-70905,RS-4022,opted out,""
AP-70589,RS-4343,withheld-regulation,""
AP-70601,RS-4496,withheld-regulation,""
AP-70713,RS-4088,withheld-regulation,""
AP-70915,RS-4034,withheld-regulation,""
AP-70932,RS-4018,withheld-regulation,""
AP-70652,RS-4442,withheld-regulation,""
